survey start date,survey end date,Donald Tsang's disapproval rating
6/19/2012,6/25/2012,0.761
5/30/2012,6/6/2012,0.781
5/18/2012,5/24/2012,0.742
5/3/2012,5/10/2012,0.727
4/17/2012,4/23/2012,0.723
4/2/2012,4/10/2012,0.698
3/16/2012,3/21/2012,0.687
3/2/2012,3/7/2012,0.706
2/20/2012,2/22/2012,0.639
2/1/2012,2/6/2012,0.668
1/12/2012,1/17/2012,0.658
1/3/2012,1/6/2012,0.678
12/14/2011,12/28/2011,0.711
12/1/2011,12/5/2011,0.648
11/15/2011,11/21/2011,0.672
10/31/2011,11/9/2011,0.612
10/13/2011,10/20/2011,0.653
10/12/2011,10/12/2011,0.658
9/26/2011,10/4/2011,0.692
9/13/2011,9/20/2011,0.666
8/29/2011,9/6/2011,0.651
8/16/2011,8/23/2011,0.636
8/1/2011,8/9/2011,0.599
7/21/2011,7/25/2011,0.653
7/4/2011,7/7/2011,0.641
6/23/2011,6/29/2011,0.613
6/1/2011,6/8/2011,0.657
5/16/2011,5/18/2011,0.568
5/3/2011,5/10/2011,0.582
4/22/2011,5/2/2011,0.593
4/4/2011,4/12/2011,0.568
3/14/2011,3/23/2011,0.516
3/1/2011,3/9/2011,0.536
2/21/2011,2/25/2011,0.545
2/7/2011,2/11/2011,0.502
1/18/2011,1/26/2011,0.461
1/5/2011,1/12/2011,0.452
12/17/2010,12/22/2010,0.435
12/6/2010,12/10/2010,0.472
11/17/2010,11/27/2010,0.424
11/2/2010,11/6/2010,0.466
10/26/2010,10/30/2010,0.448
10/13/2010,10/13/2010,0.414
10/5/2010,10/8/2010,0.43
9/18/2010,9/24/2010,0.389
8/31/2010,9/3/2010,0.368
8/17/2010,8/20/2010,0.493
8/2/2010,8/6/2010,0.507
7/19/2010,7/21/2010,0.503
7/5/2010,7/8/2010,0.522
6/18/2010,6/22/2010,0.514
6/1/2010,6/3/2010,0.511
5/18/2010,5/20/2010,0.505
4/30/2010,5/6/2010,0.481
4/26/2010,4/29/2010,0.462
4/7/2010,4/12/2010,0.495
3/23/2010,3/25/2010,0.463
3/1/2010,3/3/2010,0.424
2/22/2010,2/27/2010,0.431
2/24/2010,2/24/2010,0.417
1/29/2010,2/2/2010,0.456
1/18/2010,1/21/2010,0.438
1/4/2010,1/9/2010,0.433
12/14/2009,12/17/2009,0.433
11/28/2009,12/4/2009,0.453
11/19/2009,11/23/2009,0.468
11/3/2009,11/7/2009,0.461
10/20/2009,10/30/2009,0.485
10/14/2009,10/14/2009,0.371
10/6/2009,10/11/2009,0.38
9/14/2009,9/17/2009,0.401
9/1/2009,9/4/2009,0.422
8/18/2009,8/24/2009,0.378
8/4/2009,8/10/2009,0.412
7/20/2009,7/23/2009,0.417
7/6/2009,7/12/2009,0.447
6/16/2009,6/21/2009,0.388
6/1/2009,6/3/2009,0.401
5/19/2009,5/22/2009,0.364
5/5/2009,5/7/2009,0.369
4/21/2009,4/23/2009,0.4
4/1/2009,4/5/2009,0.394
3/9/2009,3/11/2009,0.407
3/2/2009,3/3/2009,0.394
2/25/2009,2/25/2009,0.393
2/16/2009,2/18/2009,0.374
2/2/2009,2/4/2009,0.395
1/19/2009,1/21/2009,0.386
1/2/2009,1/6/2009,0.409
12/16/2008,12/18/2008,0.404
12/2/2008,12/8/2008,0.432
11/18/2008,11/24/2008,0.337
11/5/2008,11/7/2008,0.377
10/22/2008,10/24/2008,0.395
10/15/2008,10/15/2008,0.34
10/8/2008,10/10/2008,0.387
9/17/2008,9/19/2008,0.361
9/1/2008,9/5/2008,0.412
8/18/2008,8/20/2008,0.413
8/1/2008,8/4/2008,0.357
7/14/2008,7/16/2008,0.325
7/2/2008,7/3/2008,0.366
6/18/2008,6/20/2008,0.295
6/4/2008,6/6/2008,0.244
5/20/2008,5/22/2008,0.18
5/2/2008,5/6/2008,0.199
4/16/2008,4/18/2008,0.159
4/1/2008,4/3/2008,0.164
3/18/2008,3/20/2008,0.166
3/5/2008,3/9/2008,0.179
2/27/2008,2/27/2008,0.201
2/18/2008,2/20/2008,0.189
2/1/2008,2/5/2008,0.183
1/16/2008,1/18/2008,0.204
1/2/2008,1/3/2008,0.202
12/19/2007,12/24/2007,0.212
12/3/2007,12/7/2007,0.18
11/21/2007,11/26/2007,0.165
11/5/2007,11/9/2007,0.179
10/22/2007,10/25/2007,0.178
10/10/2007,10/10/2007,0.141
10/2/2007,10/5/2007,0.148
9/17/2007,9/21/2007,0.147
9/4/2007,9/7/2007,0.15
8/20/2007,8/24/2007,0.137
8/6/2007,8/10/2007,0.146
7/23/2007,7/26/2007,0.131
7/3/2007,7/6/2007,0.124
6/15/2007,6/21/2007,0.124
6/1/2007,6/7/2007,0.113
5/16/2007,5/25/2007,0.144
5/4/2007,5/9/2007,0.114
4/17/2007,4/20/2007,0.109
4/2/2007,4/10/2007,0.128
3/19/2007,3/21/2007,0.13
3/1/2007,3/6/2007,0.147
2/28/2007,2/28/2007,0.168
2/22/2007,2/26/2007,0.162
2/1/2007,2/6/2007,0.182
1/22/2007,1/26/2007,0.187
1/9/2007,1/12/2007,0.193
12/18/2006,12/20/2006,0.205
11/30/2006,12/6/2006,0.171
11/20/2006,11/24/2006,0.2
11/6/2006,11/10/2006,0.169
10/23/2006,10/27/2006,0.185
10/11/2006,10/11/2006,#N/A
10/3/2006,10/6/2006,0.156
9/14/2006,9/20/2006,0.136
9/1/2006,9/7/2006,0.111
8/21/2006,8/23/2006,0.122
8/1/2006,8/4/2006,0.13
7/14/2006,7/21/2006,0.133
7/4/2006,7/7/2006,0.125
6/19/2006,6/21/2006,0.107
6/1/2006,6/6/2006,0.11
5/18/2006,5/25/2006,0.098
5/4/2006,5/10/2006,0.115
4/18/2006,4/21/2006,0.094
4/3/2006,4/7/2006,0.09
3/13/2006,3/17/2006,0.087
3/2/2006,3/8/2006,0.098
2/22/2006,2/22/2006,0.113
2/17/2006,2/21/2006,0.1
2/3/2006,2/7/2006,0.111
1/16/2006,1/20/2006,0.116
1/3/2006,1/6/2006,0.098
12/15/2005,12/19/2005,0.154
11/30/2005,12/5/2005,0.112
11/18/2005,11/23/2005,0.099
11/1/2005,11/7/2005,0.084
10/25/2005,10/29/2005,0.061
10/12/2005,10/12/2005,0.088
10/3/2005,10/6/2005,0.082
9/26/2005,9/29/2005,0.078
9/1/2005,9/7/2005,0.08
8/22/2005,8/25/2005,0.121
8/1/2005,8/4/2005,0.096
7/25/2005,7/29/2005,0.071
7/4/2005,7/6/2005,0.067
6/20/2005,6/23/2005,0.081
